=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
R10-13  FireStaff-2H+Burn vs WD+collar+Bone              22.0   25.2  21.8  39.0     75     96       0      67      75     115    100  60.1       0     0  Heart failure from Burning (7)
R10-13  Plate stacked+Burn/Bone vs same                  43.7   43.8  29.5  59.9      0     38       0     100      67     100    105  41.6       0     0  Torso was destroyed (Heart failed) (20)
R10-13  Plate stacked+Fester/Bite vs Burn/Bone           40.5   39.9  24.7  56.9     13     79       0      88      63     100    100  44.5       0     0  Torso was destroyed (Heart failed) (15)
R10-13  WD heal+Burn vs Plate stacked                    38.2   38.1  24.4  52.1      8     71       0     100      50     101    100  62.7       0     0  Torso was destroyed (Heart failed) (15)
R10-13  WD heal+Fester vs Plate stacked                  27.5   34.5  18.6  55.8     25     83       4      79      58     111    100  60.3       4     0  Torso was destroyed (Heart failed) (9)
R10-13  Unique-mix+Burn/Bone vs Plate stacked            25.1   26.4  22.3  30.9     46     21       0      58      42     100    100  59.0       0     0  Heart failure from Burning (8)
R10-13  FireStaff-2H+Burn+WD vs Plate stacked            50.3   47.1  30.2  58.8      4     54       0     100      50     100    100  54.2       4     0  Torso was destroyed (Heart failed) (17)
R10-13  Plate stacked vs Chain stacked                   42.2   42.2  26.4  63.7      4     58       0     100      58     100    100  48.1       0     0  Torso was destroyed (Heart failed) (15)

X       R1 axe vs R5 sword-leather                       11.2   11.5   7.0  15.0      8      0       0     100      29     100    130  18.7       0     0  Torso was destroyed (Heart failed) (18)
X       R1 club vs R5 mace-leather                       11.2   12.3   9.1  19.2     13      0       0     100      21     100    129  25.7       0     0  Torso was destroyed (Heart failed) (12)
X       R3 Fester-cloth vs R8 chain-plain                11.5   12.3   7.0  18.5     25     17       0      96      25     100    122  66.9       0     0  Torso was destroyed (Heart failed) (15)
X       R5 sword-leather vs R8 chain-burn                21.7   22.6  11.8  37.3     46     29       0     100      46     100    110  59.5       0     0  Torso was destroyed (Heart failed) (12)
X       R5 leather vs R12 chain stacked                  22.5   24.0  17.7  32.4     58      4       0     100      42     100    128  31.8       0     0  Torso was destroyed (Heart failed) (20)
X       R6 dual-iron vs R12 WD-heal-burn                 24.6   25.3  15.0  31.7     46      8       0     100      38     100    128  37.8       0     0  Torso was destroyed (Heart failed) (14)
X       R8 chain-plain vs R12 unique-mix                 18.2   18.4  12.4  24.9     58     33       0     100      42     100    131  61.4       0     0  Torso was destroyed (Heart failed) (15)
X       R8 WD-bone vs R12 WD-heal-burn                   15.9   18.0  11.9  29.9     54      8       0     100      38     100    132  61.8       0     0  Torso was destroyed (Heart failed) (20)
X       R5 leather vs R12 plate stacked                  29.3   32.3  19.2  48.8     29      4       0     100      50      99    128  31.6       0     0  Torso was destroyed (Heart failed) (14)
X       R8 plate-plain vs R12 unique-mix                 19.1   19.5  12.7  26.7     58     38       0      96      42     100    131  47.3       0     0  Torso was destroyed (Heart failed) (12)

KIT     R1 axe Early vs axe bare                         16.4   17.5  11.8  22.8     54     96       0     100      46      80    100  65.7       0     0  Torso was destroyed (Heart failed) (16)
KIT     R1 axe Early vs same                             19.6   19.4  11.6  26.2     71     58       0     100      50      97    100  59.3       0     0  Torso was destroyed (Heart failed) (18)
KIT     R5 leather Mid vs leather bare                    8.4    9.1   4.3  11.2      0    100       4      96      29      92    100 107.6       0     0  Torso was destroyed (Heart failed) (15)
KIT     R5 leather Burst vs Sustain                      15.8   19.6  10.7  36.8     33     75      13      42      54     106    100  69.3       0     0  Heart failure from Festering (7)
KIT     R8 chain Late vs chain bare                      10.1   10.8   6.1  13.7      4     96       0     100      42      88    100  96.2       0     0  Torso was destroyed (Heart failed) (17)
KIT     R8 chain Burst vs Sustain                        15.8   19.2  10.9  32.5     33     88       4      42      58     112    100  67.4       4     0  Heart failure from Festering (7)
KIT     R12 stacked Full vs Late                         22.2   21.7  15.3  29.8     71     83       0     100      50     122    100 108.2       0     0  Torso was destroyed (Heart failed) (17)
KIT     R12 WD-heal Full vs stacked Mid                  28.7   31.7  21.0  43.4     38     88       0     100      71     109    100  75.0       0     0  Torso was destroyed (Heart failed) (11)
KIT     R8 plate Late vs plate bare                      15.5   14.9   6.5  22.1     46    100       0     100      38      79    100  69.1       0     0  Torso was destroyed (Heart failed) (15)
KIT     R12 plate stacked Full vs Late                   27.1   27.2  16.1  37.2     42     75       0     100      58     116    100  79.3       0     0  Torso was destroyed (Heart failed) (16)

FOOD    R1 meat vs fish (axe+cloth)                      22.4   25.0  17.3  33.4     54     63       0     100      54      85     96  43.2       0     0  Torso was destroyed (Heart failed) (19)
FOOD    R4 stew vs dried+corn (leather)                  13.3   13.2   9.0  17.6     29     33       0     100      50     100    112  65.8       0     0  Torso was destroyed (Heart failed) (19)
FOOD    R5 stew+meat vs honey (leather)                  14.9   16.3   7.1  31.6     29     58       0     100      42     100    100  91.4       0     0  Torso was destroyed (Heart failed) (18)
FOOD    R8 honey vs stew (chain)                         14.4   13.7   6.4  19.4     42     29       0     100      33     100    109  72.3       0     0  Torso was destroyed (Heart failed) (17)
FOOD    R8 honey+stew vs walnut (WD)                     13.3   13.4   8.3  17.9     25     88       0     100      46      99    100  94.9       0     0  Torso was destroyed (Heart failed) (16)
FOOD    R12 walnut vs honey (stacked)                    19.9   22.9  14.7  36.8     58     46       0     100      46     100    100  74.2       0     0  Torso was destroyed (Heart failed) (16)
FOOD    R8 honey vs stew (plate)                         20.2   21.4  12.0  31.9     46     33       0     100      50      94    106  41.5       0     0  Torso was destroyed (Heart failed) (17)
FOOD    R12 walnut vs honey (plate stacked)              22.9   26.5  13.7  44.9     42     46       0     100      50     100    100  55.7       0     0  Torso was destroyed (Heart failed) (12)

MED     R1 MedKit+suture vs Jar only                     22.4   23.2  15.4  31.3     63     88       0     100      58     101    100  59.4       0     0  Torso was destroyed (Heart failed) (22)
MED     R4 Mist+Balmy vs Acid flask                      18.9   20.2  11.6  29.7     54     50       0     100      25     100    100  50.0       0     0  Torso was destroyed (Heart failed) (18)
MED     R5 Jar+Heal vs Acid+Puss                         10.7   18.6   7.4  36.9     21     13       8      38      29     100    100  45.2       4     0  Heart failure from Festering (10)
